classId,className,firstEvent,lastEvent,numStudents,numEvents
292,NE 121 - Fall 2019,2019-09-08 18:48:27.797000 UTC,2020-01-05 22:01:31.970000 UTC,132,156988
844,MATH 128 Online - Fall 2021,2021-08-17 17:54:39.308000 UTC,2022-01-05 04:49:34.223000 UTC,131,254329
531,ECON 101 Online - Fall 2020 - 083,2020-08-05 20:17:25.667000 UTC,2020-12-24 05:43:18.989000 UTC,131,199872
533,ECON 101 Online - Fall 2020 - 085,2020-08-05 20:33:27.312000 UTC,2020-12-26 02:03:14.747000 UTC,131,197564
449,ECE 260 - Spring 2020,2020-06-15 12:32:49.353000 UTC,2021-12-14 18:32:09.997000 UTC,131,13713
304,CIVE 123 - Winter 2020,2020-01-06 06:06:03.359000 UTC,2020-04-29 02:57:27.343000 UTC,130,38219
760,MATH 128 Online - Spring 2021,2021-03-23 19:35:42.629000 UTC,2021-09-08 03:56:57.204000 UTC,129,170040
89,Math Readiness Assessment 2018 [Science],2018-08-15 03:24:27.377000 UTC,2019-05-16 06:10:20.443000 UTC,129,12778
189,CHE 101 - Winter 2019,2019-01-07 12:26:59.802000 UTC,2020-09-01 19:10:09.365000 UTC,129,2711
1061,MATH 136 Spring 2022 (Section 04),2022-05-02 12:55:20.690000 UTC,2022-08-18 12:50:22.065000 UTC,128,154222
198,Actuarial Science Applicants Test,2020-02-08 08:38:50.790000 UTC,2022-02-13 06:41:31.015000 UTC,128,13342
208,MATH 128 Online - Spring 2019,2019-04-26 15:18:32.740000 UTC,2019-08-28 18:54:25.486000 UTC,127,229513
343,CHEM 254 - Winter 2020,2020-01-23 16:46:26.896000 UTC,2020-04-21 18:04:46.676000 UTC,127,102455
1009,PSYCH 292 - Winter 2022,2022-01-05 05:10:23.025000 UTC,2022-04-09 01:27:17.427000 UTC,127,76797
1027,MATH 128 Online - Spring 2022,2022-05-02 12:51:12.117000 UTC,2022-08-29 15:43:44.135000 UTC,126,250944
308,AFM 131 Online - Winter 2020,2019-12-12 15:55:58.232000 UTC,2021-01-13 11:03:20.336000 UTC,126,163670
39,MATH 128 Past Assignment Practice,2018-09-21 17:37:16.697000 UTC,2020-01-27 00:46:34.554000 UTC,126,25528
206,ECON 101 Online - Spring 2019,2019-04-22 19:57:32.148000 UTC,2019-09-04 03:44:38.029000 UTC,125,285325
964,AMATH 250 - Winter 2022,2022-01-05 05:21:40.516000 UTC,2022-05-01 00:28:36.409000 UTC,124,273723
708,CHEM 350 - Winter 2021,2021-02-03 14:38:51.413000 UTC,2021-05-08 21:00:21.843000 UTC,124,165895
163,MTE 120 - Winter 2019,2018-11-29 21:13:06.593000 UTC,2019-04-30 17:37:16.863000 UTC,124,66628
117,ECON 101 Online - Fall 2018,2018-08-29 18:33:39.989000 UTC,2019-01-07 03:18:51.779000 UTC,123,207739
312,ECON 101 Online - Winter 2020,2019-11-25 15:06:38.891000 UTC,2020-04-19 00:48:28.022000 UTC,123,184298
176,GENE 123 - Winter 2019 - Lab 105,2018-12-04 14:38:18.155000 UTC,2019-04-24 12:26:07.476000 UTC,123,91137
568,STAT 373 - Fall 2020,2020-11-23 20:22:21.469000 UTC,2022-01-03 23:45:37.966000 UTC,123,14459
527,SDS 250R/SWREN 250R Online - Fall 2020,2020-09-05 21:57:53.743000 UTC,2020-12-21 06:24:53.492000 UTC,122,91849
867,ECON 101 Online - Fall 2021 - 384,2021-08-16 13:34:53.303000 UTC,2022-01-05 05:55:36.329000 UTC,121,211382
323,STAT 230 Online - Winter 2020,2019-12-12 14:59:15.012000 UTC,2020-04-27 13:23:29.819000 UTC,121,209144
778,SYDE 112 - Spring 2021,2021-05-03 19:07:41.362000 UTC,2021-09-08 02:34:57.365000 UTC,121,158478
796,CHEM 120 - Spring 2021,2021-05-10 05:04:46.917000 UTC,2021-12-15 16:40:05.622000 UTC,121,103166
803,STAT 340 Spring 2021,2021-05-10 04:32:09.385000 UTC,2021-06-04 16:00:10.578000 UTC,120,116421
980,ECON 101 - Winter 2022 - 003/004,2021-12-17 19:51:59.216000 UTC,2022-04-13 22:55:14.588000 UTC,120,52461
46,EUGO - First Year Circuits,2018-08-16 12:25:49.333000 UTC,2020-04-29 03:08:57.490000 UTC,119,742
518,MATH 228 Online - Fall 2020,2020-08-04 19:08:39.858000 UTC,2021-01-04 15:28:24.362000 UTC,118,191474
910,NE 121 - Fall 2021,2021-09-16 02:08:27.585000 UTC,2021-12-31 21:51:22.943000 UTC,117,186961
840,MATH 103 Online - Fall 2021,2021-09-08 07:13:30.029000 UTC,2021-12-26 15:42:46.960000 UTC,117,133563
830,NE 222L - Fall 2021,2021-09-08 13:23:55.513000 UTC,2021-12-19 21:13:39.350000 UTC,117,112869
919,ACTSC 372 Winter 2022,2021-12-22 21:57:41.598000 UTC,2022-03-09 04:48:42.743000 UTC,117,94371
400,BIOL 308 - Spring 2020,2020-05-09 16:30:26.273000 UTC,2020-06-19 01:38:20.045000 UTC,117,1011
223,GENE 123 - Spring 2019 - Lab 103,2019-05-06 18:00:42.187000 UTC,2021-02-04 21:19:41.398000 UTC,116,132198
278,SDS 250R/SWREN 250R - Fall 2019,2019-08-29 18:47:56.977000 UTC,2020-01-07 19:07:01.821000 UTC,116,81333
1044,NE 224L - Spring 2022,2022-04-12 19:05:06.453000 UTC,2022-08-11 20:20:30.224000 UTC,116,65352
257,ECON 101 Online - Fall 2019,2019-08-20 21:42:03.966000 UTC,2020-08-20 20:01:51.722000 UTC,115,222086
944,MATH 127 Online - Winter 2022,2022-01-05 05:40:44.227000 UTC,2022-04-07 04:42:09.665000 UTC,115,127723
170,STAT 230 Online - Winter 2019,2018-12-05 19:47:23.711000 UTC,2019-05-06 02:54:30.277000 UTC,114,224215
306,ACTSC 221 Online - Winter 2020,2019-11-07 17:40:11.843000 UTC,2020-05-04 00:36:26.148000 UTC,113,133919
712,STAT 316 - Winter 2021,2021-01-14 19:20:01.900000 UTC,2021-05-04 17:08:11.917000 UTC,113,24695
452,NE 225 Master Class,2020-09-23 12:27:33.197000 UTC,2021-01-23 22:40:59.863000 UTC,112,77856
164,ECON 101 Online - Winter 2019,2019-01-04 20:45:02.465000 UTC,2019-05-06 02:21:08.733000 UTC,111,201395
722,ME 123 - Winter 2021,2021-01-11 17:27:36.706000 UTC,2021-04-24 01:11:58.712000 UTC,111,163205
397,GENE 123 - Spring 2020 - Lab 102,2020-05-05 16:44:00.092000 UTC,2020-08-22 01:59:46.408000 UTC,111,149392
919,ACTSC 372 - Winter 2022,2022-03-09 18:14:54.164000 UTC,2022-04-19 15:23:17.771000 UTC,111,76993
233,MTE120 S2019,2019-05-06 10:27:11.902000 UTC,2019-10-03 10:51:48.431000 UTC,111,52732
828,ACTSC 371 - Spring 2021,2021-06-18 14:03:04.035000 UTC,2021-09-07 20:50:36.882000 UTC,111,10064
709,SYDE 112 - Winter 2021,2020-12-21 23:25:40.030000 UTC,2022-04-08 19:36:19.770000 UTC,110,175647
987,SYDE 211 Winter 2022,2022-01-05 06:02:04.138000 UTC,2022-05-04 04:22:10.382000 UTC,110,82976
396,ME 123 Parent,2021-01-29 22:25:41.771000 UTC,2021-03-15 08:19:31.113000 UTC,110,8174
728,GENE 123 - Winter 2021,2021-01-14 21:30:13.775000 UTC,2021-04-24 02:35:25.769000 UTC,109,156982
438,CO 380 - Spring 2020,2020-05-11 04:19:36.915000 UTC,2020-09-08 03:20:52.596000 UTC,109,135040
911,BME 285 - Fall 2021,2021-09-08 14:34:50.871000 UTC,2021-12-18 22:52:05.024000 UTC,109,130049
706,GENE 123 - Winter 2021 - extra for Fiona,2021-01-15 12:31:39.662000 UTC,2021-04-14 23:29:56.864000 UTC,109,61212
