userId,tot_actions
000599f0-8b3c-4bdf-870b-113f77a7e27e,2120
00534ad3-93cc-4a6a-a1c8-7919af71effc,3071
002c9e90-c6c5-4d57-9429-d826e311ef85,2694
0062274f-1ec1-4ba3-8007-3f5416ea88c0,76
9ef11fd6-2de7-4eca-af7b-bd2f5b50aaff,1834
9f17a128-0b4d-4852-bf5c-87bd591ef6d3,886
a03e8fdd-ef86-4b60-8d00-78a6e583fbf5,3132
a0d241c6-bd02-4790-b9c9-94165b749d52,3935
a08027ce-36ec-4699-95dd-fef108fe90c2,1657
9f431f1e-ecfc-4189-893d-db876b809eeb,2499
a08dabce-0da2-400b-82dd-589df5c0ad5b,3514
9f1841b7-e7f1-4623-9e48-22ae219c84e6,14
3333a67f-863f-4275-a0a8-4e31e1db9cbd,2813
3349b000-9271-4396-916d-19b499733d54,1893
349876c0-edc5-4079-88f8-642e896a40cd,3044
328135d0-2bb8-4e1e-aa48-7194e6c4d562,2124
35515492-de2f-43f4-836e-50bf19505a7e,1118
331a93bb-b0eb-47a4-be1f-0a4d3f1e0041,590
2f787407-7f00-48b2-ac26-12a1aa84aa4d,1571
30be6bbf-39ed-4c55-97c5-db8786e6319b,2044
2f3d47dd-cba9-467e-98ce-e097a156adc9,1440
3266b2fe-7b76-4f39-96e2-4ecbb3fb4bef,1576
300f53a4-c910-4a10-bca9-38b233317728,543
34590156-8ceb-4e28-a4d6-60c9e982a2ac,1352
32bc83c4-46e2-4af4-88be-9c8975889860,1410
335c483e-f19a-4699-aa88-ce75ff8c871a,6965
30ef09c8-2061-4d2e-915a-96695d2205d0,1844
30c3bf11-5f27-4a50-a442-c7566f56566a,2364
2fe0e74b-258f-48a6-98a3-435aba9a858b,37
35c8fa0f-80ec-4576-960a-54dde6ce4d21,6
355df11a-9ec2-4939-9e64-0b7becc88f83,14
08ce049d-cb6d-4ec2-8660-8084940bf125,4204
09d5509f-9d45-4a82-b869-1122a1b72057,2595
06cac8b5-4bfb-45a2-897f-6640d6e657c9,3265
093fe0ed-5e9a-417a-ab63-309819636f3b,2825
07327fd6-a43b-4f39-82cd-7d825360fb35,2494
0a56b65f-7fa1-4ff2-a414-b213b97dc535,2975
0c635b55-fec2-402b-b42f-d0af9d0e626c,2372
0aa5679e-06b6-4928-8fd0-d68cbec68210,2793
0675a25b-a9fc-4f23-8b80-0df972be0bcf,1426
089ed0e8-e3db-468d-a37f-7750a1c8d9c5,1555
095ee579-8b75-4155-9d8a-6cb81d60c1e8,1911
0ba54a68-fc7f-46e3-9f13-75db594bb006,2268
088633d1-b8ac-4839-bf96-35bbd11fc6e5,688
099a7f91-c872-4e86-9c78-6c384b9d532b,2970
0b0f166d-4f50-4e53-86a6-b94c47df86a7,842
0b742d86-be4c-412c-a85f-004ca2fff217,6
09b718d3-c898-4001-92e6-e550cdc36f2b,29
200ea092-3bac-44a9-9a8f-bc25f38d7de0,7952
1f9d8628-ebaf-4aac-9a3b-8c865a741e80,1704
1d7c91aa-a827-4b56-9055-924ae095716f,1222
1f64e2e2-a5a8-435e-8c19-3c4548db542d,1483
1cd05551-4534-42e8-a26f-5325a731e645,4144
1eff9d98-1a7a-4a35-a9ac-5db2b20a4454,885
21233418-92dd-4fec-ade2-cc30ba0a692e,1966
1cdcaa62-6a22-4d15-816a-999f69597e2f,4450
1e149661-2e41-4226-9fe8-2684941ef10a,2699
2123124e-d468-4fe9-a50c-b454ac9f9283,4
3dd912d4-30a6-4242-87bb-9b908b881807,6407
4028fab4-892a-4d6a-94cf-250b2c5b30f5,2305
3f98dab6-9a87-4952-8f5a-f401594e7e6c,6344
3efab816-b912-4d66-8761-85f9dc19ccd8,3420
3f985ed1-9217-4341-8f22-fbecd6f0ab36,5495
3e2f4265-f530-46c5-9c84-ee7ed1cf0bd7,2009
3f2c02ab-0f22-4486-8722-cfd53ce6d26a,4408
41851588-a729-49a5-abc8-a898aa1dd2c6,1269
411d2425-2a23-4c19-aae4-c4ee031dd2f4,1680
3eeea676-3c0f-42b9-b089-a35d7b57e1ce,4171
3fb25cd1-1822-47f2-a761-9bbea501b22e,1221
3e45ccc0-8bdd-4d19-96ec-7a0b8e06bfc7,78
666a6a91-0376-45be-968c-cc6daa271f31,911
68a4b77a-bc66-40df-87f2-158a208cef40,1412
668e0bb1-8a6b-4432-b65a-df0c8a88e928,3293
660bb6fe-816a-44b8-baba-a3de281efd22,1238
697d7a23-a5dc-4006-93b9-41a6bdbfc41a,2058
682b3908-4ea0-4479-b4cc-82cae923abec,2875
6903ef64-2ca4-4608-bdfe-0e184305da0a,755
6989cb9a-7862-4677-9e48-267f44378c03,2197
68d29d37-5975-4e64-b6f9-531c5474cb23,2161
66aa37ff-0f47-43de-ac00-6cadaac98c90,1857
6912a555-2ab0-4a76-ba10-f01d5d393633,1919
69028e34-3434-439d-9f9b-4d6de3ebe10d,1303
670993bb-203f-416a-b6cd-57d9f28a984e,544
65bc0f7b-5299-4e49-abb0-2266c868f9fc,1695
65d691ca-5eb4-42e2-bcf6-87f422aae710,2736
679d1411-0a26-4d46-804e-c5211a7518d3,3209
3c7be8a2-43ce-4cf8-a20a-6e7756f1786e,2059
3a900ef5-0929-4bb2-8d31-6db3b0a9fdaa,2205
3d4a5186-bdf4-4d87-8306-f84c36b9890b,1148
3d86c0c1-e584-48cc-91bd-bacd5e985f09,3615
3aedde5a-1961-46dd-b107-e1522824f5b6,1567
3a29426b-fca7-4240-a092-35c87b167671,3262
3c54e974-b4dd-4a05-9048-c0a075cca283,2843
3d87daf8-eaa7-4696-a8af-0b3b48e256c7,4869
3a47fe9a-ccc7-4e36-86c5-cb48d6611c7f,1352
3bfd7c0b-db99-4a7d-b2d9-2d9b09f31385,4615
3ac3bde9-8a7d-43db-86cf-48fc540d7ecd,2031
3b497929-7773-4fc0-9686-ce6ec802c6dc,2814
3aacfda7-7c8f-4710-b1f7-7e13248544bb,1799
3bc29e88-e72e-448f-a0dc-9ee9882f7728,36
3aaf2a54-40f0-4495-957d-b3b8f2d08964,6
0dcb2cd9-f478-4fdd-b6a5-7735afbf1fa2,1741
121570a4-8b49-4343-92d8-9134b12457c6,2451
0d8a1dd2-d4c9-4364-836c-033488cddd04,2097
0e6cf9df-1f51-4f14-8553-f7c0b39c0845,1363
10011a49-b42f-4a4e-ac7a-681a46f318c2,4949
0c849ee2-a78b-4fe1-be8a-7ba32db6ac01,1554
111eb907-4a39-4dbd-ab39-faa7b4f36715,2745
0c696db7-57ab-4008-bc8f-fbb028a7c59f,2723
11a33862-c90a-4ec3-b686-bdd62890d824,726
